Name;Starter_Ideas;Ambition;Trigger;Idea1;Idea2;Idea3;Idea4;Idea5;Idea6;Idea7;Adjective;Country
URB_ideas;Production Efficiency = 0.1 && Idea cost = -0.1;Leader siege = 1;tag = Urbino;The Italian Wars = Mercenary manpower = 0.5;Condottiere Kings = Mercenary discipline = 0.05;The Ducal Palace of Urbino = Yearly prestige = 1;A Humanist Court = Tolerance of Heretics = 1 && Religious Unity = 0.25;The Book of the Courtier = Diplomatic Reputation = 1;Papal Loyalty = Yearly papal influence = 1;The Light of Italy = Institution spread = 0.1;Urbinese;Urbino
BLG_ideas;Fort Defence = 0.2 && Construction Cost = -0.1;Development cost = -0.1;tag = Bologna;Etruscan Origins = Morale of armies = 0.1;Bentivoglio Family = Re-election cost = -0.2 && Legitimacy = 1;Rebellion Against the Papacy = Church power modifier = 0.1 && Monthly fervor increase = 0.25 && Tolerance of True Faith = 1;La Grassa = Goods produced modifier = 0.1;La Rossa = Yearly prestige = 1;La Turrita = Fort maintenance = -0.15;La Dotta = technology cost = -0.05;Bolognese;Bologna
MAN_ideas;Fort maintenance = -0.2 && Land Maintenance modifier = -0.1;Infantry Combat Ability = 0.1;tag = Mantua;Free Imperial City of Mantua = Diplomatic Reputation = 1 && Imperial authority modifier = 0.1;The Countess's Studiolo = Female advisor chance = 0.2 && Idea cost = -0.1;Noble Clergymen = [Country.GetClergyName] Loyalty Equilibrium = 0.10;Gonzaga's Walls = Fort Defence = 0.2;Soldiers for Protection = Discipline = 0.05;Mantuan Royal Ties = Diplomatic relation = 1;Mercenary Princes = Monarch military skill = 1;Mantuan;Mantua
PGA_ideas;National tax modifier = 0.1 && Production Efficiency = 0.1;Trade Efficiency = 0.1;tag = Perugia;Saint Herculanus = Fort Defence = 0.2;Umbrian Hegemony = National unrest = -1;Meeting of the Five Conclaves = Tolerance of True Faith = 2;Perugian Signoria = Republican Tradition = 0.3 && Yearly prestige = 1;Heartbeat of Christianity = Missionaries = 1;The War of the Eight Saints = Morale of armies = 0.1;The Baglioni Dream = Unjustified demands = -0.2;Perugian;Perugia
SZO_ideas;Aggressive expansion impact = -0.15 && Infantry Combat Ability = 0.1;Core-Creation Cost = -0.15;tag = Saluzzo;The Saluzzo Golden Age = Provincial trade power = 0.1;The Rich Mountains of Saluzzo = Goods produced modifier = 0.1;Marquisate = Morale of armies = 0.1;Alpine Engineering = Movement speed = 0.15;The Key to the House of Italy = Trade Steering = 0.2;Chiesa San Giovanni = Tolerance of True Faith = 1 && Missionary strength = 0.01;The Marquis Mint = National tax modifier = 0.1;Saluzzese;Saluzzo
MFA_ideas;Recover army morale speed = 0.05 && Legitimacy = 1;Construction Cost = -0.1;tag = Montferrat;Cousins to Kings and Emperors = Diplomatic Reputation = 1 && Yearly prestige = 0.5;The Rich and Fertile Mountain = Goods produced modifier = 0.1;The Italian Frontier = Land Attrition = -0.1;Savoyard Loyalty = Improve relations = 0.3;Apennine Campaigns = Yearly Army Tradition From Battles = 0.5;Crossroad of Powers = Global trade power = 0.1;Last Claimants of Byzantium = Province warscore cost = -0.1;Montferratian;Montferrat
SIE_ideas;Mercenary maintenance = -0.15 && Construction Cost = -0.1;Mercenary manpower = 0.5;tag = Siena;The Council of Priori = [Country.GetBurghersName] Loyalty Equilibrium = 0.05;Siena Lordship = [Country.GetNobilityName] Loyalty Equilibrium = 0.05;The Bank of Siena = Yearly inflation reduction = 0.1;Sienese Perseverance = Stability cost modifier = -0.2;Sienese School of Painting = Yearly prestige decay = -0.01;The Saints of Siena = Improve relations = 0.15 && Yearly papal influence = 0.5;The People's Republic = National unrest = -2;Sienese;Siena
LUC_ideas;Mercenary maintenance = -0.15 && Construction Cost = -0.1;Mercenary manpower = 0.5;tag = Lucca;Mending the Papal Schisms = Tolerance of Heretics = 2 && Religious Unity = 0.15;Libertas! = Provincial trade power = 0.1;Draining Lago di Bientina = Development cost = -0.1;Luccan Naval Ambitions = National sailors modifier = 0.2;The Captain of the People = Production Efficiency = 0.1;The Black Party = National unrest = -1;The Jacobin State of Lucca = Republican Tradition = 0.3 && Maximum revolutionary zeal = 10;Luccan;Lucca
VRN_ideas;Infantry Combat Ability = 0.1 && Global trade power = 0.1;Light ship combat ability = 0.25;tag = Verona;Three Households Alike in Dignity = Republican Tradition = 0.3 && Stability cost modifier = -0.15;In Fair Verona = Yearly prestige = 1;Ancient Grudge = Fort maintenance on border with rival = -0.25 && Power projection from insults = 1;Civil Blood and Civil Hands = Morale of armies = 0.15;Ending the Strife = Improve relations = 0.3;Some Shall Be Pardoned, Some Punished = Yearly absolutism = 1;For Never Was There a Tale of More Woe = Light ship cost = -0.2;Veronese;Verona
VEN_ideas;National sailors modifier = 0.20 && Global trade power = 0.1;Galley combat ability = 0.25;tag = Venice;Venetian Arsenal = Naval force limit modifier = 0.25 && Galley cost = -0.20;Printing Industry = Diplomat = 1;Stato da Màr = Trade Efficiency = 0.10;Found the State Inquisition = Foreign spy detection = 0.3;Naval Conscription = Naval maintenance modifier = -0.2 && Sailor maintenance = -0.05;Defend the Law = Stability cost modifier = -0.1 && Cost to justify trade conflict = -0.1;Found the provveditori ai beni inculti = Land Attrition = -0.10 && Naval attrition = -0.10;Venetian;Venice
PRU_ideas;Yearly Army Tradition = 0.5 && Aggressive expansion impact = -0.10;Discipline = 0.05;tag = Prussia;Legacy of the Teutonic Knights = Tolerance of True Faith = 1 && Stability cost modifier = -0.1;The Soldier-King of Prussia = Yearly Yearly Army Tradition Decay = -0.01;Army Professionalism = Morale of armies = 0.20;Noble Cadets = [Country.GetNobilityName] Loyalty Equilibrium = 0.10;The Goose Step = Infantry Combat Ability = 0.20;Regimental Cantons = National manpower modifier = 0.25 && Recruitment time = -0.10;Religious Toleration = Development cost = -0.05 && Tolerance of Heretics = 1;Prussian;Prussia
BRA_ideas;Cost to fabricate claims= -0.2 && Construction Cost = -0.15;State maintenance = -0.25;tag = Brandenburg;Northern March = Infantry Combat Ability = 0.10;Found the Kammergericht = National tax modifier = 0.1;Divide the Estates = Stability cost modifier = -0.1;Pomeranian Wars = Morale of armies = 0.10;Seat of the Old Emperors = Diplomatic Reputation = 1 && Imperial authority modifier = 0.1;Iron Tooth = National unrest = -2;Geheimer Rat für die Kurmark = [Country.GetBurghersName] Loyalty Equilibrium = 0.05 && [Country.GetNobilityName] Loyalty Equilibrium = 0.05;Brandenburgian;Brandenburg
POR_ideas;Colonial range = 0.25 && Infantry Combat Ability = 0.1;Global tariffs = 0.20;tag = Portugal;Legacy of the Navigator = Morale of navies = 0.1 && Ship disengagement chance = 0.05;Afonsine Ordinance = Goods produced modifier = 0.1;Feitorias = Global trade power = 0.1;Land Before Faith = Global settler increase = 15;Encourage the Bandeirantes = Trade Efficiency = 0.15;Royal Absolutism = Construction Cost = -0.15 && Yearly absolutism = 0.5;Royal Academy of Fortification, Artillery and Drawing = Fort Defence = 0.1 && Artillery fire = 1;Portuguese;Portugal
POL_ideas;Cavalry cost = -0.1 && Max promoted culture = 1; Tolerance of Heretics = 3;tag = Poland && tag = Commonwealth && ;Promote the Folwark System = Production Efficiency = 0.1;Nihil Novi = Stability cost modifier = -0.1 && War Exhaustion = -0.02;Piechota Wybraniecka = National manpower modifier = 0.25 && Infantry Combat Ability = 0.1;Winged Hussars = Cavalry combat ability = 0.33 && Cavalry to Infantry Ratio = 0.10;Wojsko Komputowe = Regiment cost = -0.10;Found the Foreign section = Discipline = 0.05;Focus On Field Defenses = Morale of armies = 0.15;Polish;Poland
HAB_ideas;Morale of armies = 0.10 && Improve relations = 0.3;Chance of new heir = 0.50;tag = Austria &&tag = Styria &&dynasty = "von Habsburg" &&;Imperial Ambition = Imperial authority growth modifier = 0.1 && Diplomatic Annexation Cost = -0.15;Military Frontier = National garrison growth = 0.15 && Fort maintenance = -0.10;Fugger Banking = Yearly inflation reduction = 0.05 && Interest per annum = -0.5;Habsburg Dominance = Diplomatic Reputation = 2;Edict of Restitution = Missionary strength = 0.02;Austrian Court = Diplomatic relation = 1;Hofkriegsrat = Reinforce speed = 0.3 && Discipline = 0.03;Austrian;Austria
CHI_ideas;Fort maintenance = -0.2 && Idea cost = -0.10;Improve relations = 0.3;tag = Ming;Nine Garrisons of The Great Wall = Fort Defence = 0.05 && Garrison size = 0.25;Revive the Three Grand Divisions = Discipline = 0.05;Inward Perfection = Stability cost modifier = -0.10;Repair the Yellow River Dykes = Production Efficiency = 0.1;Restore the Salt Monopoly = Trade Efficiency = 0.1;Single Whip Law = National tax modifier = 0.10;The Red Cannon = Land leader fire = 1;Chickasaw;Chickasaw
PER_ideas;Morale of armies = 0.1 && Cavalry combat ability = 0.15;Recover army morale speed = 0.05;tag = Persia;The Qizilbash = National manpower modifier = 0.15;Encourage Persian Rug Production = Goods produced modifier = 0.1;Found the Ghulams = Discipline = 0.05;Improve the Silk Road = Caravan power = 0.2;Encourage Art = Yearly prestige = 1 && Production Efficiency = 0.05;Promotion of Irrigation = Manpower recovery speed = 0.10;Increase the Crown Lands = National tax modifier = 0.10;Persian;Persia
BUR_ideas;Morale of armies = 0.1 && Diplomatic relation = 1;Goods produced modifier = 0.15;tag = Burgundy;The Order of the Golden Fleece = Yearly prestige = 1;The Compagnies d'Ordonnance = Mercenary maintenance = -0.15;Promote the Estates General = Mercenary manpower = 0.5;Reform of the Feudal Army = Discipline = 0.05;Integrate the Towns in the Estates General = Trade Efficiency = 0.10;Allow Freedom of Worship = Tolerance of Heretics = 2;Create the Regimental System = National manpower modifier = 0.25;Burgundian;Burgundy
GEN_ideas;Trade Efficiency = 0.10 && Interest per annum = -0.5;Naval maintenance modifier = -0.2;tag = Genoa;Reuniting the Nation = Stability cost modifier = -0.10 && Cost to justify trade conflict = -0.10;The Lessons of Chioggia = Morale of navies = 0.20;Rebuilding Genoese Trade = Trade power abroad = 0.10 && National sailors modifier = 0.20;Build the Genoese Arsenal = Galley cost = -0.33;Overhaul the Bureaucracy = National tax modifier = 0.1;Setup the Office of Grand Admiral = Naval force limit modifier = 0.25;Standardization of Designs = Shipbuilding time = -0.10;Genoese;Genoa
SCO_ideas;Land leader shock = 1 && Land force limit modifier = 0.33;Land Maintenance modifier = -0.05;tag = Scotland;Break the Black Douglas = National unrest = -1;Modernize the Royal Scots Navy = Ship cost = -0.1;Rein in the Clans = National manpower modifier = 0.2;Comets? = Stability cost modifier = -0.10;Tighten up Royal Revenue = National tax modifier = 0.1;Basilikon Doron = Legitimacy = 1;Pass the Act of Revocation = Aggressive expansion impact = -0.15;Scottish;Scotland
HUN_ideas;Cavalry combat ability = 0.20 && Recover army morale speed = 0.05;Leader without upkeep = 1;tag = Hungary;A Renaissance Prince = National unrest = -1;Bulwark of Christianity = National manpower modifier = 0.2;Found the Black Army = Discipline = 0.05;Reformed Coinage = National tax modifier = 0.1;Curtail the Freedom of the Peasantry = Production Efficiency = 0.1;Strengthen the Towns = Domestic trade power = 0.25;Create the Estates General = Heretic and heathen provinces do not give any penalties = yes;Hungarian;Hungary
JAP_ideas;Stability cost modifier = -0.1 && Discipline = 0.05;Infantry Combat Ability = 0.15;tag = Japan;Unification under the Emperor = National unrest = -2;Reformed Land Holding = National manpower modifier = 0.2;Modernization = technology cost = -0.05 && Institution spread = 0.1;Maritime Legacy = Ship durability = 0.1;Land of the Rising Sun = Yearly prestige = 1;Kaitakudan = Global settler increase = 20;Great Power Diplomacy = Aggressive expansion impact = -0.15;Japanese;Japan
MAM_ideas;Trade Steering = 0.25 && Cavalry combat ability = 0.10;Provincial trade power = 0.25;tag = Mamluks;Red Sea Trade = Global trade power = 0.05 && Trade range = 0.10;Monuments to our Greatness = Yearly prestige = 1;Purchase New Mamluks = Manpower recovery speed = 0.15;Reform of the Army = Discipline = 0.05;Reform the Fellah System = Production Efficiency = 0.1;Reform of the Succession = Stability cost modifier = -0.15;Monopoly Ports = Trade Efficiency = 0.10;Mamlukean;Mamluks
NAP_ideas;Institution spread = 0.1 && Trade Efficiency = 0.1;National manpower modifier = 0.2;tag = Naples;Consolidate the Royal Domain = Goods produced modifier = 0.1;Academia Pontaniana = technology cost = -0.05;Encourage City Living = Development cost = -0.1;Crush the Power of the Barons = Morale of armies = 0.1;Expand the Arsenale = Ship cost = -0.1;City of Artists = Yearly prestige = 1;The Lazzaroni and the Monarchy = Legitimacy = 1;Neapolitan;Naples
SIC_ideas;Morale of armies = 0.1 && National manpower modifier = 0.2;Yearly prestige = 1;tag = Two Sicilies && tag = Sicily && ;University of Catania = technology cost = -0.05;Constitutions of Melfi = National unrest = -1 && Possible policies = 1;Noble Admirals = Navy Tradition = 1;Greater Sicily = Core-Creation Cost = -0.1;Sicilian Trade Fleets = Ship trade power = 0.2;The Grand Navy = Morale of navies = 0.15;Sicilian Silk = Goods produced modifier = 0.1;Sicilian;Sicily
ARA_ideas;Galley combat ability = 0.2 && Trade Efficiency = 0.1;Artillery fire = 1;tag = Aragon;Mercenary Princes = Mercenary maintenance = -0.15;Protection of the Coastlines = Naval force limit modifier = 0.10 && National sailors modifier = 0.25;Mediterranean Trade = Trade Steering = 0.20;Consolidation of the Estates = Stability cost modifier = -0.1;Chartered Merchant Companies = Global trade power = 0.20;Reforming the Administration = Monthly autonomy change = -0.05;Protect the Little Folk = Morale of armies = 0.10;Aragonese;Aragon
MUG_ideas;Core-Creation Cost = -0.25 && Cavalry combat ability = 0.20;technology cost = -0.05;tag = Mughals;The Jagir and Mansabdari Systems = Discipline = 0.05;Control over the Clergy = National unrest = -1;Ibadat Khana - House of Worship = Idea cost = -0.1;An Indian Padishah = Military free policies = 1;Zabt System = National tax modifier = 0.1;Mughal Architecture = Yearly prestige = 1;Fatawa-i-Alamgiri = Stability cost modifier = -0.10;Mughal;Mughals
TIM_ideas;Diplomatic relation = 1 && Land leader shock = 1;Discipline = 0.05;tag = Timurids;Timurid Architecture = Yearly prestige = 1;The Mantle of the Great Khan = Morale of armies = 0.1;Unleash the Tiger = Shock damage = 0.1;Chagatai Literature = Legitimacy = 1 && Horde Unity = 1;Timurid Renaissance = technology cost = -0.05;Control of the Silk Road = Domestic trade power = 0.25;Reform the Diwan = Yearly corruption = -0.1 ;Timurid;Timurids
HSA_ideas;Trade range = 0.15 && Trade Steering = 0.10;Trade Efficiency = 0.10;tag = Lübeck;The End of the Victual Brothers = Global trade power = 0.10;Strong League Obligations = Merchants = 1;Improved Shipbuilding = Light ship cost = -0.20 && National sailors modifier = 0.15;Reformed Hanstag = Stability cost modifier = -0.1 && Cost to justify trade conflict = -0.1;Hanseatic Levy System = Manpower recovery speed = 0.15;Regularized Contributions = Provincial trade power = 0.20;The Hansa Bank = Interest per annum = -0.5;Lübeckian;Lübeck
MLO_ideas;Infantry Combat Ability = 0.10 && Diplomatic relation = 1;National manpower modifier = 0.20;tag = Milan;Renaissance Prince = Idea cost = -0.1;Patron of Music = Yearly prestige = 1;Lowered Power of the Barons = Development cost = -0.1;The Age of the Condottieri = Mercenary maintenance = -0.15;Encouragement of Philosophers = technology cost = -0.05;Merchant Princes = Global trade power = 0.1;Rulership through Enlightened Principals = Stability cost modifier = -0.1;Milanese;Milan
BYZ_ideas;Advisor cost = -0.10 && Tolerance of True Faith = 3;Yearly prestige = 1;tag = Byzantium;Regulations for Mercenaries = Mercenary maintenance = -0.15;Repopulation of the Countryside = Goods produced modifier = 0.05 && National manpower modifier = 0.10;Start Administrative Reform = National tax modifier = 0.10;Delegated Power = Stability cost modifier = -0.1;Byzantine Merchant Class = Global trade power = 0.1;The New Imperial Army = Discipline = 0.05;Restore the Ecumenical Patriarch = Missionary strength = 0.03;Byzantine;Byzantium
VIJ_ideas;Possible Advisors = 1 && Infantry Combat Ability = 0.1;Mercenary manpower = 0.5;tag = Vijayanagar;Promotion of Trade = Global trade power = 0.10;Arab Horses = Cavalry combat ability = 0.10;Harsh Penal Code = Stability cost modifier = -0.1;Tolerance = Tolerance of Heretics = 1Tolerance of Heathens = 1;Carnatic Music = Yearly prestige = 1;Adroit Diplomacy = Diplomat = 1;An Army for the City of Victory = Discipline = 0.05;Vijaynagari;Vijayanagar
AYU_ideas;Cavalry combat ability = 0.15 && Liberty desire from subjects development = -0.2;Diplomatic Annexation Cost = -0.15;tag = Ayutthaya;White Elephant = Income from vassals = 0.2;The Corvee System = National manpower modifier = 0.25;Promotion of Trading links = Diplomatic Reputation = 1;Foreign Mercenaries = Mercenary maintenance = -0.15;Embassies = Improve relations = 0.3;Phrai Luang = Development cost = -0.1;Personal Executions = Harsh treatment cost = -0.2;Ayutthayan;Ayutthaya
NOR_ideas;National sailors modifier = 0.25 && Ship durability = 0.10;Trade Steering = 0.20;tag = Norway;Natural Seamanship = Morale of navies = 0.20;The Call of our Forefathers = Colonial range = 0.33 && Can recruit explorers and conquistadors. Explorers may explore ocean provinces. = yes;Pioneer Spirit = Colonist = 1;Military Shipbuilding = Ship cost = -0.1;Seize the Opportunity = Global trade power = 0.1;Encouraged Fishing = Production Efficiency = 0.1;Write New Sagas = Yearly prestige = 1 && Discipline = 0.025;Norwegian;Norway
OMA_ideas;Morale of navies = 0.15 && Naval maintenance modifier = -0.2;Blockade Efficiency = 0.33;tag = Oman;Local Merchant Preference = Trade Steering = 0.33;Securing Timber Supplies = Shipbuilding time = -0.1;Association With Unbelievers = Tolerance of Heathens = 2 && National sailors modifier = 0.10;Port Security Improvements = Trade Efficiency = 0.1;End of the Shipbuilding Guilds = Light ship cost = -0.15 && Sailor maintenance = -0.05;Skilled Captains = Naval leader maneuver = 1;Expansion of Trade Contacts = Merchants = 1;Omani;Oman
KOR_ideas;Domestic trade power = 0.25 && Construction Cost = -0.1;Infantry Combat Ability = 0.1;tag = Korea;The Hangeul Alphabet = technology cost = -0.1;Grand Code for State Administration = Stability cost modifier = -0.10;Hyang'yak System = Production Efficiency = 0.10;Geobukseon = Ship durability = 0.1;The Hopae System = National manpower modifier = 0.10;The Kyujanggak = Idea cost = -0.1;Economic reform = National tax modifier = 0.10;Korean;Korea
BOH_ideas;Imperial authority growth modifier = 0.10 && Advisor cost = -0.1;Land leader fire = 1;tag = Bohemia;Compacta of Prague = Tolerance of Heretics = 3;Elective Monarchy = Legitimacy = 1;Wagenburg = Infantry Combat Ability = 0.10 && Shock damage received = -0.05;Letter of Majesty = National unrest = -1;Hussite Legacy = technology cost = -0.1;The Kutnohorian Deal = Stability cost modifier = -0.10;Czech Nationalism = Cost of advisors with ruler's culture = -0.25;Bohemian;Bohemia
ITA_ideas;Global trade power = 0.20 && Improve relations = 0.50;Fort Defence = 0.20;tag = Italy;Not a Geographical Construct = Stability cost modifier = -0.10;The Tradition of the Legion = Infantry Combat Ability = 0.15;Mare Nostrum = Galley cost = -0.15 && Galley combat ability = 0.20;The Office of Censor = National manpower modifier = 0.33;Italian Tax Reform = National tax modifier = 0.15;Heir to the Empire = Yearly prestige = 1;The Path to Citizenship = Core-Creation Cost = -0.25;Italian;Italy
MJZ_ideas;Morale of armies = 0.1 && National manpower modifier = 0.15;Land Attrition = -0.1;tag = Jianzhou && tag = Haixi && tag = Orochoni && tag = Xibe && tag = Nanai && ;Sons of the Mountain = Attrition for enemies = 1.0;The Queue = Horde Unity = 0.5 && Legitimacy = 0.5 && National unrest = -1;Foreign Service = Land leader shock = 1;The Borderlands = Manpower recovery speed = 0.2;Wives and Concubines = Chance of new heir = 0.5;Generosity of the Warlord = Improve relations = 0.25;Jurchen Banner Armies = Possible Manchu banners = 0.15;Jianzhou;Jianzhou
MCH_ideas;Land leader shock = 1 && Land Maintenance modifier = -0.05;Morale of armies = 0.15;tag = Manchu;United Three Jurchens = National manpower modifier = 0.15 && Core-Creation Cost = -0.15;The Eight Banners = Possible Manchu banners = 0.25;Manchu Alphabet = Institution spread = 0.05 && Stability cost modifier = -0.1;The Later Jin = Horde Unity = 1 && Legitimacy = 1;Link with the Mongol Dynasty = Cavalry combat ability = 0.15;Chinese Learning = Military Technology Cost = -0.1;The Seven Grievances = Aggressive expansion impact = -0.1;Manchurian;Manchu
QNG_ideas;Core-Creation Cost = -0.2 && Aggressive expansion impact = -0.1;Advisor cost = -0.15;tag = Qing;Expand the Banners = Possible Manchu banners = 0.3;The Green Standard Army = Manpower recovery speed = 0.15 && National manpower modifier = 0.15;Pigtail or Death = National unrest = -2;Bogda Khan = Years of separatism = -5 && Legitimacy = 1 && Meritocracy = 1;Chinese Laws = Administrative Efficiency = 0.05;The Viceroyalties = State maintenance = -0.15 && Monthly autonomy change = -0.05;The Ten Great Campaigns = Morale of armies = 0.15 && Prestige from land battles = 0.5;Qing;Qing
