Name;Starter_Ideas;Ambition;Trigger;Idea1;Idea2;Idea3;Idea4;Idea5;Idea6;Idea7;Adjective;Country
DAN_ideas;<:ship_durability:1005120784517316719> Ship durability = 0.05 && <:global_tax_modifier:1005098696217739294> National tax modifier = 0.10;<:global_naval_engagement_modifier:1005773678597910589> Global naval engagement = 0.10;tag = Denmark;Nordic Rulers Legacy = <:shock_damage:1005120789978296391> Shock damage = 0.1;Vornedskap = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.2 && <:global_sailors_modifier:1005773842528079994> National sailors modifier = 0.2;Old Naval Traditions = <:naval_morale:1005774954232549396> Morale of navies = 0.1 && <:disengagement_chance:1005773460036927600> Ship disengagement chance = 0.05;Found the Rentekammer = <:build_cost:1005773315069198356> Construction Cost = -0.15;Reorganize the Klaedekammer = <:naval_maintenance_modifier:1005774952743567430> Naval maintenance modifier = -0.15;Found the Copenhagen Dockyard = <:naval_forcelimit_modifier:1005774951384629288> Naval force limit modifier = 0.5;Den Danske Lov = <:global_unrest:1005773867131883530> National unrest = -1;Danish;Denmark
FRA_ideas;<:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1 && <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.20;<:discipline:1005098692254105711> Discipline = 0.05;tag = France;French Language in All Courts = <:diplomatic_upkeep:1005773455423180860> Diplomatic relation = 1;Elan! = <:land_morale:1005774027152965652> Morale of armies = 0.20;Estates General = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.1;Native Trading Principles = <:native_uprising_chance:1005774948297613433> Native uprising chance = -0.5 && Assimilated Natives = 0.5;Vauban Fortifications = <:fort_maintenance_modifier:1005773641922916452> Fort maintenance = -0.2;The Philosophes = <:technology_cost:1005120815056044053> Technology cost = -0.1;Liberté, Égalité, Fraternité = <:tolerance_heathen:1005101080507600986> Tolerance of Heathens = 2 && <:tolerance_heretic:1005120820315697223> Tolerance of Heretics = 2;French;France
TUR_ideas;<:discipline:1005098692254105711> Discipline = 0.05 && <:tolerance_heathen:1005101080507600986> Tolerance of Heathens = 3;<:land_forcelimit_modifier:1005098698046443660> Land force limit modifier = 0.33;tag = Ottomans;Kanunnames = <:core_creation:1005098690484113489> Core-Creation Cost = -0.20 && <:num_accepted_cultures:1005098700940509284> Max promoted culture = 1;Ghazi = <:manpower_recovery_speed:1005098699531243600> Manpower recovery speed = 0.2;Timar System = <:cavalry_power:1005098688223383734> Cavalry combat ability = 0.15;Autonomous Pashas = <:war_exhaustion_cost:1005098704614740079> Cost of reducing war exhaustion = -0.10;The Law code of Suleiman = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.1;Tulip Period = <:trade_efficiency:1005098702572093592> Trade efficiency = 0.10;Found the Imperial School of Naval Engineering = <:global_ship_cost:1005098694091223040> Ship cost = -0.1;Ottoman;Ottomans
FER_ideas;<:light_ship_power:1005774044039225395> Light ship combat ability = 0.15 && <:siege_ability:1005120793438593115> Siege ability = 0.1;<:global_ship_trade_power:1005773846986641510> Ship trade power = 0.2;tag = Ferrara;Papal Recognition = <:papal_influence:1005774980123988038> Yearly papal influence = 1 && <:religious_unity:1005120781216383077> Religious unity = 0.25;Center of Culture = <:global_institution_spread:1005773668795813931> Institution spread = 0.1;Alfonso I's Reforms = <:artillery_power:1005773277026848882> Artillery combat ability = 0.1;Margraves of Este = <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1;Resisting Venetian Control = <:global_own_trade_power:1005773680036556850> Domestic trade power = 0.25;Este Castle = <:defensiveness:1005773436997615728> Fort Defence = 0.15 && <:prestige:1005120779614163074> Yearly prestige = 0.5;The Ferraran Arsenal = <:flagship_cost:1005773637359509534> Flagship cost = -0.5 && <:leader_naval_fire:1005774030172864572> Naval leader fire = 1;Ferrarese;Ferrara
URB_ideas;<:production_efficiency:1005775011753234442> Production efficiency = 0.1 && <:idea_cost:1005773900464005170> Idea cost = -0.1;<:leader_siege:1005774034769809468> Leader siege = 1;tag = Urbino;The Italian Wars = <:mercenary_manpower:1005774252135419987> Mercenary manpower = 0.5;Condottiere Kings = <:mercenary_discipline:1005774250432532570> Mercenary <:discipline:1005098692254105711> Discipline = 0.05;The Ducal Palace of Urbino = <:prestige:1005120779614163074> Yearly prestige = 1;A Humanist Court = <:tolerance_heretic:1005120820315697223> Tolerance of Heretics = 1 && <:religious_unity:1005120781216383077> Religious unity = 0.25;The Book of the Courtier = <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1;Papal Loyalty = <:papal_influence:1005774980123988038> Yearly papal influence = 1;The Light of Italy = <:global_institution_spread:1005773668795813931> Institution spread = 0.1;Urbinese;Urbino
BLG_ideas;<:defensiveness:1005773436997615728> Fort Defence = 0.2 && <:build_cost:1005773315069198356> Construction Cost = -0.1;<:development_cost:1005773438989914184> Development cost = -0.1;tag = Bologna;Etruscan Origins = <:land_morale:1005774027152965652> Morale of armies = 0.1;Bentivoglio Family = <:reelection_cost:1005775223062282251> Re-election cost = -0.2 && <:legitimacy:1005774036359454720> Yearly Legitimacy = 1;Rebellion Against the Papacy = <:church_power_modifier:1005773406857347082> Church power modifier = 0.1 && <:monthly_fervor_increase:1005774288558759997> Monthly fervor increase = 0.25 && <:tolerance_own:1005775364745855036> Tolerance of True Faith = 1;La Grassa = <:global_trade_goods_size_modifier:1005773860764921856> Goods produced modifier = 0.1;La Rossa = <:prestige:1005120779614163074> Yearly prestige = 1;La Turrita = <:fort_maintenance_modifier:1005773641922916452> Fort maintenance = -0.15;La Dotta = <:technology_cost:1005120815056044053> Technology cost = -0.05;Bolognese;Bologna
MAN_ideas;<:fort_maintenance_modifier:1005773641922916452> Fort maintenance = -0.2 && <:land_maintenance_modifier:1005774025739489320> Land Maintenance modifier = -0.1;<:infantry_power:1005773918675669073> Infantry Combat Ability = 0.1;tag = Mantua;Free Imperial City of Mantua = <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1 && <:imperial_authority_value:1005773907053248542> Imperial authority modifier = 0.1;The Countess's Studiolo = <:female_advisor_chance:1005773633047756881> Female advisor chance = 0.2 && <:idea_cost:1005773900464005170> Idea cost = -0.1;Noble Clergymen = [Country.GetClergyName] Loyalty Equilibrium = 0.10;Gonzaga's Walls = <:defensiveness:1005773436997615728> Fort Defence = 0.2;Soldiers for Protection = <:discipline:1005098692254105711> Discipline = 0.05;Mantuan Royal Ties = <:diplomatic_upkeep:1005773455423180860> Diplomatic relation = 1;Mercenary Princes = <:monarch_military_power:1005774278802817095> Monarch military skill = 1;Mantuan;Mantua
PGA_ideas;<:global_tax_modifier:1005098696217739294> National tax modifier = 0.1 && <:production_efficiency:1005775011753234442> Production efficiency = 0.1;<:trade_efficiency:1005098702572093592> Trade efficiency = 0.1;tag = Perugia;Saint Herculanus = <:defensiveness:1005773436997615728> Fort Defence = 0.2;Umbrian Hegemony = <:global_unrest:1005773867131883530> National unrest = -1;Meeting of the Five Conclaves = <:tolerance_own:1005775364745855036> Tolerance of True Faith = 2;Perugian Signoria = <:republican_tradition:1005775244306432000> Yearly republican tradition = 0.3 && <:prestige:1005120779614163074> Yearly prestige = 1;Heartbeat of Christianity = <:missionaries:1005774270720389220> Missionaries = 1;The War of the Eight Saints = <:land_morale:1005774027152965652> Morale of armies = 0.1;The Baglioni Dream = <:unjustified_demands:1005775382953328712> Unjustified demands = -0.2;Perugian;Perugia
SZO_ideas;<:ae_impact:1005120769891762206> Aggressive expansion impact = -0.15 && <:infantry_power:1005773918675669073> Infantry Combat Ability = 0.1;<:core_creation:1005098690484113489> Core-Creation Cost = -0.15;tag = Saluzzo;The Saluzzo Golden Age = <:global_prov_trade_power_modifier:1005773683152916560> Provincial trade power = 0.1;The Rich Mountains of Saluzzo = <:global_trade_goods_size_modifier:1005773860764921856> Goods produced modifier = 0.1;Marquisate = <:land_morale:1005774027152965652> Morale of armies = 0.1;Alpine Engineering = <:movement_speed:1005774307571548191> Movement speed = 0.15;The Key to the House of Italy = <:trade_steering:1005775370697572363> Trade Steering = 0.2;Chiesa San Giovanni = <:tolerance_own:1005775364745855036> Tolerance of True Faith = 1 && <:global_missionary_strength:1005773673753485373> Missionary strength = 0.01;The Marquis Mint = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.1;Saluzzese;Saluzzo
MFA_ideas;<:recover_army_morale_speed:1005775211112714320> Recover army morale speed = 0.05 && <:legitimacy:1005774036359454720> Yearly Legitimacy = 1;<:build_cost:1005773315069198356> Construction Cost = -0.1;tag = Montferrat;Cousins to Kings and Emperors = <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1 && <:prestige:1005120779614163074> Yearly prestige = 0.5;The Rich and Fertile Mountain = <:global_trade_goods_size_modifier:1005773860764921856> Goods produced modifier = 0.1;The Italian Frontier = <:land_attrition:1005774022136582144> Land Attrition = -0.1;Savoyard Loyalty = <:improve_relation_modifier:1005773914078720100> Improve relations = 0.3;Apennine Campaigns = <:army_tradition_from_battle:1005773271037390868> <:army_tradition:1005773267652591657> Yearly Army Tradition From Battles = 0.5;Crossroad of Powers = <:global_trade_power:1005773865437376582> Global trade power = 0.1;Last Claimants of Byzantium = <:province_warscore_cost:1005775184969605151> Province warscore cost = -0.1;Montferratian;Montferrat
SIE_ideas;<:merc_maintenance_modifier:1005774245986566215> Mercenary maintenance = -0.15 && <:build_cost:1005773315069198356> Construction Cost = -0.1;<:mercenary_manpower:1005774252135419987> Mercenary manpower = 0.5;tag = Siena;The Council of Priori = [Country.GetBurghersName] Loyalty Equilibrium = 0.05;Siena Lordship = [Country.GetNobilityName] Loyalty Equilibrium = 0.05;The Bank of Siena = <:inflation_reduction:1005774008735764530> Yearly inflation reduction = 0.1;Sienese Perseverance = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.2;Sienese School of Painting = <:prestige_decay:1005775002873892884> Yearly <:prestige:1005120779614163074> Yearly prestige decay = -0.01;The Saints of Siena = <:improve_relation_modifier:1005773914078720100> Improve relations = 0.15 && <:papal_influence:1005774980123988038> Yearly papal influence = 0.5;The People's Republic = <:global_unrest:1005773867131883530> National unrest = -2;Sienese;Siena
LUC_ideas;<:merc_maintenance_modifier:1005774245986566215> Mercenary maintenance = -0.15 && <:build_cost:1005773315069198356> Construction Cost = -0.1;<:mercenary_manpower:1005774252135419987> Mercenary manpower = 0.5;tag = Lucca;Mending the Papal Schisms = <:tolerance_heretic:1005120820315697223> Tolerance of Heretics = 2 && <:religious_unity:1005120781216383077> Religious unity = 0.15;Libertas! = <:global_prov_trade_power_modifier:1005773683152916560> Provincial trade power = 0.1;Draining Lago di Bientina = <:development_cost:1005773438989914184> Development cost = -0.1;Luccan Naval Ambitions = <:global_sailors_modifier:1005773842528079994> National sailors modifier = 0.2;The Captain of the People = <:production_efficiency:1005775011753234442> Production efficiency = 0.1;The Black Party = <:global_unrest:1005773867131883530> National unrest = -1;The Jacobin State of Lucca = <:republican_tradition:1005775244306432000> Yearly republican tradition = 0.3 && <:max_revolutionary_zeal:1005774067875459072> Maximum revolutionary zeal = 10;Luccan;Lucca
VRN_ideas;<:infantry_power:1005773918675669073> Infantry Combat Ability = 0.1 && <:global_trade_power:1005773865437376582> Global trade power = 0.1;<:light_ship_power:1005774044039225395> Light ship combat ability = 0.25;tag = Verona;Three Households Alike in Dignity = <:republican_tradition:1005775244306432000> Yearly republican tradition = 0.3 && <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.15;In Fair Verona = <:prestige:1005120779614163074> Yearly prestige = 1;Ancient Grudge = <:rival_border_fort_maintenance:1005775250925035590> Fort maintenance on border with rival = -0.25 && <:power_projection_from_insults:1005774996259475457> Power projection from insults = 1;Civil Blood and Civil Hands = <:land_morale:1005774027152965652> Morale of armies = 0.15;Ending the Strife = <:improve_relation_modifier:1005773914078720100> Improve relations = 0.3;Some Shall Be Pardoned, Some Punished = <:yearly_absolutism:1005775404860178455> Yearly absolutism = 1;For Never Was There a Tale of More Woe = <:light_ship_cost:1005774042625753088> Light ship cost = -0.2;Veronese;Verona
VEN_ideas;<:global_sailors_modifier:1005773842528079994> National sailors modifier = 0.20 && <:global_trade_power:1005773865437376582> Global trade power = 0.1;<:galley_power:1005773653985726475> Galley combat ability = 0.25;tag = Venice;Venetian Arsenal = <:naval_forcelimit_modifier:1005774951384629288> Naval force limit modifier = 0.25 && <:galley_cost:1005773652287037531> Galley cost = -0.20;Printing Industry = <:diplomats:1005773457105113150> Diplomat = 1;Stato da Màr = <:trade_efficiency:1005098702572093592> Trade efficiency = 0.10;Found the State Inquisition = <:global_spy_defence:1005773849121525821> Foreign spy detection = 0.3;Naval Conscription = <:naval_maintenance_modifier:1005774952743567430> Naval maintenance modifier = -0.2 && <:sailor_maintenance_modifer:1005120782411767882> Sailor maintenance = -0.05;Defend the Law = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.1 && <:justify_trade_conflict_cost:1005774020806975498> Cost to justify trade conflict = -0.1;Found the provveditori ai beni inculti = <:land_attrition:1005774022136582144> Land Attrition = -0.10 && <:naval_attrition:1005774949836927056> Naval attrition = -0.10;Venetian;Venice
PRU_ideas;<:army_tradition:1005773267652591657> Yearly Army Tradition = 0.5 && <:ae_impact:1005120769891762206> Aggressive expansion impact = -0.10;<:discipline:1005098692254105711> Discipline = 0.05;tag = Prussia;Legacy of the Teutonic Knights = <:tolerance_own:1005775364745855036> Tolerance of True Faith = 1 && <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.1;The Soldier-King of Prussia = <:army_tradition_decay:1005773269384843344> Yearly <:army_tradition:1005773267652591657> Yearly Army Tradition Decay = -0.01;Army Professionalism = <:land_morale:1005774027152965652> Morale of armies = 0.20;Noble Cadets = [Country.GetNobilityName] Loyalty Equilibrium = 0.10;The Goose Step = <:infantry_power:1005773918675669073> Infantry Combat Ability = 0.20;Regimental Cantons = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.25 && <:global_regiment_recruit_speed:1005773687737290762> Recruitment time = -0.10;Religious Toleration = <:development_cost:1005773438989914184> Development cost = -0.05 && <:tolerance_heretic:1005120820315697223> Tolerance of Heretics = 1;Prussian;Prussia
BRA_ideas;<:fabricate_claims_cost:1005773631353278484> Cost to fabricate claims= -0.2 && <:build_cost:1005773315069198356> Construction Cost = -0.15;<:state_maintenance_modifier:1005120805161681037> State maintenance = -0.25;tag = Brandenburg;Northern March = <:infantry_power:1005773918675669073> Infantry Combat Ability = 0.10;Found the Kammergericht = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.1;Divide the Estates = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.1;Pomeranian Wars = <:land_morale:1005774027152965652> Morale of armies = 0.10;Seat of the Old Emperors = <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1 && <:imperial_authority_value:1005773907053248542> Imperial authority modifier = 0.1;Iron Tooth = <:global_unrest:1005773867131883530> National unrest = -2;Geheimer Rat für die Kurmark = [Country.GetBurghersName] Loyalty Equilibrium = 0.05 && [Country.GetNobilityName] Loyalty Equilibrium = 0.05;Brandenburgian;Brandenburg
POR_ideas;<:range:1005775205530091561> Colonial range = 0.25 && <:infantry_power:1005773918675669073> Infantry Combat Ability = 0.1;<:global_tariffs:1005773854565740564> Global tariffs = 0.20;tag = Portugal;Legacy of the Navigator = <:naval_morale:1005774954232549396> Morale of navies = 0.1 && <:disengagement_chance:1005773460036927600> Ship disengagement chance = 0.05;Afonsine Ordinance = <:global_trade_goods_size_modifier:1005773860764921856> Goods produced modifier = 0.1;Feitorias = <:global_trade_power:1005773865437376582> Global trade power = 0.1;Land Before Faith = <:global_colonial_growth:1005773661422227508> Global settler increase = 15;Encourage the Bandeirantes = <:trade_efficiency:1005098702572093592> Trade efficiency = 0.15;Royal Absolutism = <:build_cost:1005773315069198356> Construction Cost = -0.15 && <:yearly_absolutism:1005775404860178455> Yearly absolutism = 0.5;Royal Academy of Fortification, Artillery and Drawing = <:defensiveness:1005773436997615728> Fort Defence = 0.1 && <:artillery_fire:1005773275508506755> Artillery fire = 1;Portuguese;Portugal
POL_ideas;<:cavalry_cost:1005773403501903894> Cavalry cost = -0.1 && <:num_accepted_cultures:1005098700940509284> Max promoted culture = 1; <:tolerance_heretic:1005120820315697223> Tolerance of Heretics = 3;tag = Poland && tag = Commonwealth && ;Promote the Folwark System = <:production_efficiency:1005775011753234442> Production efficiency = 0.1;Nihil Novi = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.1 && <:war_exhaustion:1005775395607552072> Monthly war exhaustion = -0.02;Piechota Wybraniecka = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.25 && <:infantry_power:1005773918675669073> Infantry Combat Ability = 0.1;Winged Hussars = <:cavalry_power:1005098688223383734> Cavalry combat ability = 0.33 && <:cav_to_inf_ratio:1005773402411384853> Cavalry to Infantry Ratio = 0.10;Wojsko Komputowe = <:global_regiment_cost:1005773686139260979> Regiment cost = -0.10;Found the Foreign section = <:discipline:1005098692254105711> Discipline = 0.05;Focus On Field Defenses = <:land_morale:1005774027152965652> Morale of armies = 0.15;Polish;Poland
